Route ID,Vessel,Time Window,Profit,Technician Type 1 Demand,Technician Type 2 Demand,Jobs Included,obj price,cost dp
1,Vessel_1,1,7632.49533040293,6,5,"1,2,3,4",7632.495330402935,1113.5999076923074
2,Vessel_1,2,8480.685806593407,7,5,"1,2,3,4,5",8480.685806593412,1113.599907692308
3,Vessel_2,1,8829.634348021978,7,5,"1,2,3,4",8829.634348021978,751.6799376923077
4,Vessel_2,2,8123.571656984522,9,3,"1,2,4,5",8123.571656984524,161.9997715869069
5,Vessel_3,1,9842.598132161174,6,5,"1,2,3,4",9842.598132161173,445.4399630769212
6,Vessel_3,2,8506.293370256411,6,5,"1,2,4,5",8506.293370256411,445.4399630769219
7,Vessel_1,1,5988.000092307697,4,7,"2,3,4,5",5988.000092307699,239.9999076923029
8,Vessel_1,2,6790.761997069597,5,7,"2,3,4,5",6790.761997069599,239.99990769230808
9,Vessel_2,1,7124.200062307692,4,7,"2,3,4,5",7124.200062307694,161.99993769230764
10,Vessel_2,2,7717.611490879121,5,7,"2,3,4,5",7717.61149087912,612.3599376923071
11,Vessel_3,1,7922.613333333333,7,5,"2,3,4,5",7922.613333333334,453.12000000000006
12,Vessel_3,2,8799.843809523809,4,7,"2,3,4,5",8799.84380952381,362.87999999999977
13,Vessel_1,1,3407.285806593407,9,3,"1,2,5",2364.531483956041,239.9999076923077
14,Vessel_1,2,5390.285806593407,7,5,"1,2,5",4347.531483956041,239.9999076923077
15,Vessel_2,1,5976.891490879127,7,5,"1,2,3,5",3597.8324063369982,751.6799376923022
16,Vessel_2,2,8119.891490879123,7,5,"1,2,3,5",5740.832406336996,751.6799376923053
17,Vessel_3,1,4815.514322637362,7,5,"1,2,5",3772.759999999997,95.99996307692304
18,Vessel_3,2,9228.083846446889,7,5,"1,2,3,5",6849.02476190476,445.4399630769219
19,Vessel_1,1,6550.0191399267405,6,5,"1,3,4,5",6550.019139926744,1113.5999076923065
20,Vessel_1,2,6319.019139926748,6,5,"1,3,4,5",6319.01913992675,1113.5999076922997
21,Vessel_2,1,6227.428571428572,8,4,"1,4,5",6227.4285714285725,0.0
22,Vessel_2,2,7470.977205164835,6,5,"1,3,4,5",7470.977205164834,751.6799376923078
23,Vessel_3,1,7976.8686083516495,6,5,"1,3,4,5",7976.868608351648,1397.7599630769214
24,Vessel_3,2,8581.0076559707,6,5,"1,3,4,5",8581.007655970698,445.4399630769199
25,Vessel_1,1,4723.190476190476,8,3,"1,4",19.14855912087788,0.0
26,Vessel_2,1,5330.228571428572,8,3,"1,4",626.1866671398402,0.0
27,Vessel_2,2,4477.228633736264,4,7,"3,5",600.2628948351627,161.99993769230764
28,Vessel_3,1,5843.876190476191,8,3,"1,4",1139.8342734065925,0.0
29,Vessel_3,2,5185.209560732601,5,7,"3,5",1308.2438218314992,95.99996307692294
30,Vessel_1,1,3819.380952380952,6,5,"2,4",204.74670358974436,0.0
31,Vessel_1,2,3872.095238095239,7,5,"2,5",871.9752750183161,0.0
32,Vessel_2,1,4448.457142857143,6,5,"2,4",833.8228940659346,0.0
33,Vessel_2,2,4587.714285714286,7,5,"2,5",1587.5943226373631,0.0
34,Vessel_3,1,4980.752380952381,6,5,"2,4",1366.118132161173,0.0
35,Vessel_3,2,5193.238095238095,7,5,"2,5",2193.118132161173,0.0
36,Vessel_3,1,4181.464798827838,6,5,"1,3",146.61904761904478,445.4399630769232
37,Vessel_3,2,7440.742894065934,7,5,"2,3,5",252.15809523809415,95.99996307692322
38,Vessel_3,1,7623.422894065934,7,5,"1,3,4",36.35809523809212,712.3199630769236

Total Profit (LP),,,,,,,,,,,13284.619084542126 Routes in optimal [28:1.0, 37:1.0]

Total Profit (IP),,,,,,,,,,,13284.619084542126 Routes in optimal [28:1.0, 37:1.0]

Execution Time (seconds),,,,,,,,,,,83.56393790245056
