Route ID,Vessel,Time Window,Profit,Technician Type 1 Demand,Technician Type 2 Demand,Jobs Included,obj price,cost dp
1,Vessel_1,1,607.7619047619064,5,6,"1,2",607.7619047619053,1726.857142857142
2,Vessel_1,2,1543.7619047619064,5,3,"1,2",1543.7619047619053,1726.857142857142
3,Vessel_2,1,2336.5142857142864,5,3,"1,2",2336.514285714287,1165.628571428571
4,Vessel_2,2,3272.5142857142864,5,3,"1,2",3272.514285714288,1165.628571428571
5,Vessel_3,1,3799.304761904762,5,3,"1,2",3799.3047619047634,690.7428571428568
6,Vessel_3,2,4735.304761904762,5,3,"1,2",4735.304761904763,690.7428571428568
7,Vessel_1,2,711.1428571428573,2,3,2,711.1428571428571,1128.0
8,Vessel_2,2,1761.1714285714288,2,3,2,1761.1714285714284,761.4
9,Vessel_3,1,720.6571428571431,2,3,2,720.6571428571433,451.1999999999998
10,Vessel_3,2,2649.657142857143,2,3,2,1713.6571428571433,451.20000000000005
11,Vessel_3,1,2455.409523809524,5,3,1,417.2761904761909,239.54285714285697

Total Profit (LP),,,,,,,,,,,5105.0666666666675 Routes in optimal [10:1.0, 11:1.0]

Total Profit (IP),,,,,,,,,,,5105.0666666666675 Routes in optimal [10:1.0, 11:1.0]

Execution Time (seconds),,,,,,,,,,,14.197402715682983
