Route ID,Vessel,Time Window,Profit,Technician Type 1 Demand,Technician Type 2 Demand,Jobs Included,obj price,cost dp
1,Vessel_1,1,12143.583892307695,10,8,"1,2,3,4,5",12143.583892307695,68.27923269230509
2,Vessel_1,2,11978.624942564102,10,8,"1,2,3,4,5",11978.6249425641,264.31418076923075
3,Vessel_2,1,12143.583892307695,10,8,"1,2,3,4,5",12143.583892307695,68.27923269230509
4,Vessel_2,2,11978.624942564102,10,8,"1,2,3,4,5",11978.6249425641,264.31418076923075
5,Vessel_1,1,9276.252775000004,9,7,"2,3,4,5",9276.252775000004,66.6171749999976
6,Vessel_1,2,10205.023101923078,9,7,"2,3,4,5",10205.023101923078,21.71867307692308
7,Vessel_2,1,9276.252775000004,9,7,"2,3,4,5",9276.252775000004,66.6171749999976
8,Vessel_2,2,10205.023101923078,9,7,"2,3,4,5",10205.023101923078,21.71867307692308
9,Vessel_1,1,9031.04364,10,4,"1,2,4,5",9031.04364,144.336
10,Vessel_1,2,9272.441072500003,6,5,"1,2,4,5",9272.441072500003,156.849
11,Vessel_2,1,9031.04364,10,4,"1,2,4,5",9031.04364,144.336
12,Vessel_2,2,9272.441072500003,6,5,"1,2,4,5",9272.441072500003,156.849
13,Vessel_1,1,7822.251136666667,6,3,"1,2,4",7822.251136666666,206.028
14,Vessel_1,2,5859.093559166667,18,6,"1,2,4",5859.093559166667,112.61700000000002
15,Vessel_2,1,7822.251136666667,6,3,"1,2,4",7822.251136666666,206.028
16,Vessel_2,2,5859.093559166667,18,6,"1,2,4",5859.093559166667,112.61700000000002
17,Vessel_1,1,6284.2075775,6,2,"1,4",6284.2075775,93.411
18,Vessel_1,2,7057.830234166667,14,5,"1,4,5",5607.64029833333,103.887
19,Vessel_2,1,6284.2075775,6,2,"1,4",6284.2075775,93.411
20,Vessel_2,2,7057.830234166667,14,5,"1,4,5",5607.64029833333,103.887
21,Vessel_1,1,8169.341955320515,10,10,"1,2,3,5",8169.341955320514,142.5116538461534
22,Vessel_1,2,10202.52011198718,10,8,"1,2,3,5",10202.520111987182,211.1876538461538
23,Vessel_2,1,8169.341955320515,10,10,"1,2,3,5",8169.341955320514,142.5116538461534
24,Vessel_2,2,10202.52011198718,10,8,"1,2,3,5",10202.520111987182,211.1876538461538
25,Vessel_1,1,5652.236775,6,5,"2,4",970.8379321153848,0.0
26,Vessel_1,2,5957.0995,7,5,"2,5",2968.866004999997,0.0
27,Vessel_2,1,5652.236775,6,5,"2,4",970.8379321153848,0.0
28,Vessel_2,2,5957.0995,7,5,"2,5",2968.866004999997,0.0
29,Vessel_1,1,7291.541615384615,6,9,"3,4,5",2269.9953567948714,18.355384615384576
30,Vessel_1,2,5866.094823333334,4,7,"3,5",3987.903848461539,68.67599999999997
31,Vessel_2,1,7291.541615384615,6,9,"3,4,5",2269.9953567948714,18.355384615384576
32,Vessel_2,2,5866.094823333334,4,7,"3,5",3987.903848461539,68.67599999999997
33,Vessel_1,1,11072.987318205129,8,6,"1,2,3,4",2936.5524976282045,98.15653846153846
34,Vessel_1,2,4712.203275,4,5,"2,3",2859.976031923077,222.09847499999995
35,Vessel_2,1,11072.987318205129,8,6,"1,2,3,4",2936.5524976282045,98.15653846153846
36,Vessel_2,2,4712.203275,4,5,"2,3",2859.976031923077,222.09847499999995
37,Vessel_1,1,6260.522630769231,3,7,"3,4",699.2905324358968,15.758769230769229
38,Vessel_1,2,6075.794892307692,4,8,"3,5",209.7000689743585,15.2663076923077
39,Vessel_2,1,6260.522630769231,3,7,"3,4",699.2905324358968,15.758769230769229
40,Vessel_2,2,6075.794892307692,4,8,"3,5",209.7000689743585,15.2663076923077
41,Vessel_1,1,5352.78149423077,7,6,"1,3",1107.36088224359,92.18768076923078
42,Vessel_1,2,7063.565157692307,11,9,"1,2,3",483.1023715064097,19.21719230769231
43,Vessel_2,1,5352.78149423077,7,6,"1,3",1107.36088224359,92.18768076923078
44,Vessel_2,2,7063.565157692307,11,9,"1,2,3",483.1023715064097,19.21719230769231
45,Vessel_1,1,6491.836825,8,3,"1,4",207.6292474999997,0.0
46,Vessel_1,2,3497.8697,3,2,5,86.62308144230819,11.349000000000002
47,Vessel_2,1,6491.836825,8,3,"1,4",207.6292474999997,0.0
48,Vessel_2,2,3497.8697,3,2,5,86.62308144230819,11.349000000000002
49,Vessel_1,1,9133.870087545729,9,8,"1,3,4",81.29961254572763,16.1169236225393
50,Vessel_1,2,4904.564969230769,5,8,"2,3",192.3616942307695,16.833230769230713
51,Vessel_2,1,9133.870087545729,9,8,"1,3,4",81.29961254572763,16.1169236225393
52,Vessel_2,2,4904.564969230769,5,8,"2,3",192.3616942307695,16.833230769230713
53,Vessel_1,1,5421.536680769231,7,6,"1,3",68.75518653846123,15.322269230769232
54,Vessel_2,1,5421.536680769231,7,6,"1,3",68.75518653846123,15.322269230769232
55,Vessel_1,2,8509.414976923077,8,10,"2,3,5",4.126252930343789,19.89992307692308
56,Vessel_1,2,2334.1279115384614,4,3,2,71.59620485342128,11.293038461538465
57,Vessel_2,2,2334.1279115384614,4,3,2,71.59620485342128,11.293038461538465

Total Profit (LP),,,,,,,,,,,15090.96958754573 Routes in optimal [28:1.0, 49:1.0]

Total Profit (IP),,,,,,,,,,,15090.96958754573 Routes in optimal [26:1.0, 49:1.0]

Execution Time (seconds),,,,,,,,,,,13.417335748672485
